dataset_id,spatial_resolution,temporal_mode,weights_csv,use_existing_weights,n_rep_days,grid_carbon_scenario,technology_set,storage_model,bess_degradation_mode,bess_calendar_ageing_cost_yuan_per_kwh_year,dr_ramp_fraction_per_h,thermal_ramp_fraction_per_h,load_shedding_penalty_yuan_per_kwh,compute_reference_context,experiment_id,fixed_baseline_reference_ton,fixed_baseline_cap_ratio,co2_cap_ton,co2_cap_ratio,run_id,storage_model_label,bess_degradation_cost_yuan_per_kwh,h_max_liion,enable_ldes,flex_case,dr_fraction,thermal_flex_fraction,ev_mode,ev_penetration,network_mode,allow_large_spatial_transfer_proxy,network_k_nearest,transfer_cap_mw,solver_method,solver_name,solver_time_limit_seconds
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_8h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.4,1930890.9423102264,0.4,r2_R2B_storage_calendar_sensitivity_0042_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p40,liion_8h_calendar_mid,,8.0,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_8h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.25,1206806.8389438915,0.25,r2_R2B_storage_calendar_sensitivity_0043_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p25,liion_8h_calendar_mid,,8.0,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_8h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.15,724084.1033663348,0.15,r2_R2B_storage_calendar_sensitivity_0044_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p15,liion_8h_calendar_mid,,8.0,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_8h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.14,675811.8298085793,0.14,r2_R2B_storage_calendar_sensitivity_0045_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p14,liion_8h_calendar_mid,,8.0,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_8h_with_degradation_plus_LDES,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,1.0,4827227.355775566,1.0,r2_R2B_storage_calendar_sensitivity_0046_k100_repday_opt_base_with_storage_degradation_liion_8h_LDES_calendar_mid_baseline_capfix1p00,liion_8h_LDES_calendar_mid,,8.0,True,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_8h_with_degradation_plus_LDES,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.4,1930890.9423102264,0.4,r2_R2B_storage_calendar_sensitivity_0047_k100_repday_opt_base_with_storage_degradation_liion_8h_LDES_calendar_mid_baseline_capfix0p40,liion_8h_LDES_calendar_mid,,8.0,True,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_8h_with_degradation_plus_LDES,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.25,1206806.8389438915,0.25,r2_R2B_storage_calendar_sensitivity_0048_k100_repday_opt_base_with_storage_degradation_liion_8h_LDES_calendar_mid_baseline_capfix0p25,liion_8h_LDES_calendar_mid,,8.0,True,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_8h_with_degradation_plus_LDES,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.15,724084.1033663348,0.15,r2_R2B_storage_calendar_sensitivity_0049_k100_repday_opt_base_with_storage_degradation_liion_8h_LDES_calendar_mid_baseline_capfix0p15,liion_8h_LDES_calendar_mid,,8.0,True,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_8h_with_degradation_plus_LDES,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.14,675811.8298085793,0.14,r2_R2B_storage_calendar_sensitivity_0050_k100_repday_opt_base_with_storage_degradation_liion_8h_LDES_calendar_mid_baseline_capfix0p14,liion_8h_LDES_calendar_mid,,8.0,True,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2C_flexibility_ablation_ramped,4827227.355775566,0.4,1930890.9423102264,0.4,r2_R2C_flexibility_ablation_ramped_0051_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40,,,,,base_no_flex,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2C_flexibility_ablation_ramped,4827227.355775566,0.25,1206806.8389438915,0.25,r2_R2C_flexibility_ablation_ramped_0052_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,,,,,base_no_flex,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2C_flexibility_ablation_ramped,4827227.355775566,0.15,724084.1033663348,0.15,r2_R2C_flexibility_ablation_ramped_0053_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p15,,,,,base_no_flex,,,,,,,,,,,
